utterance,intent,entity_type,entity_value,start_offset,end_offset,category,tags
how can I cancel purchase 113542617735902?,cancel_order,order_id,113542617735902,26.0,41.0,ORDER,BIL
can you help me canceling purchase 00004587345?,cancel_order,order_id,00004587345,35.0,46.0,ORDER,BIL
i want assistance to cancel purchase 732201349959,cancel_order,order_id,732201349959,37.0,49.0,ORDER,BLQ
i want assistance to cancel order 732201349959,cancel_order,order_id,732201349959,34.0,46.0,ORDER,BQ
"I don't want my last item, help me cancel order 370795561790",cancel_order,order_id,370795561790,48.0,60.0,ORDER,BCLN
I can no longer pay for purchase 00004587345,cancel_order,order_id,00004587345,33.0,44.0,ORDER,BLN
I need assistance cancelling purchase 732201349959,cancel_order,order_id,732201349959,38.0,50.0,ORDER,BL
is it possible to cancel order 113542617735902?,cancel_order,order_id,113542617735902,31.0,46.0,ORDER,BI
assistance cancelling purchase 00123842,cancel_order,order_id,00123842,31.0,39.0,ORDER,BL
i can no longer pay for purchase 113542617735902,cancel_order,order_id,113542617735902,33.0,48.0,ORDER,BLNQ
how tocancel purchase 00004587345,cancel_order,order_id,00004587345,22.0,33.0,ORDER,BILQZ
i need assistance cancelling order 00123842,cancel_order,order_id,00123842,35.0,43.0,ORDER,BQ
problems with cancelling purchase 00123842,cancel_order,order_id,00123842,34.0,42.0,ORDER,BLM
need to cancel order 00004587345,cancel_order,order_id,00004587345,21.0,32.0,ORDER,BQ
I have got to cancel purchase 732201349959,cancel_order,order_id,732201349959,30.0,42.0,ORDER,BL
"I can't afford this order, cancel purchase 732201349959",cancel_order,order_id,732201349959,43.0,55.0,ORDER,BCLN
what do I need to do to cancel order 370795561790?,cancel_order,order_id,370795561790,37.0,49.0,ORDER,BI
"I do not want this item, where to cancel order 370795561790?",cancel_order,order_id,370795561790,47.0,59.0,ORDER,BCEILN
can you help me canceling purchase 00123842 ?,cancel_order,order_id,00123842,35.0,43.0,ORDER,BILZ
"I can no longer afford purchase 00004587345, cancel it",cancel_order,order_id,00004587345,32.0,43.0,ORDER,BCLN
i bought something cancel purchase 370795561790,cancel_order,order_id,370795561790,35.0,47.0,ORDER,BCQ
