utterance,encoded_intent,labels
how can I cancel purchase 113542617735902?,0,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
can you help me canceling purchase 00004587345?,0,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
i want assistance to cancel purchase 732201349959,0,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
i want assistance to cancel order 732201349959,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
"I don't want my last item, help me cancel order 370795561790",0,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0]"
I can no longer pay for purchase 00004587345,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
I need assistance cancelling purchase 732201349959,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
is it possible to cancel order 113542617735902?,0,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]"
assistance cancelling purchase 00123842,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
i can no longer pay for purchase 113542617735902,0,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
how tocancel purchase 00004587345,0,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]"
i need assistance cancelling order 00123842,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
problems with cancelling purchase 00123842,0,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
need to cancel order 00004587345,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
I have got to cancel purchase 732201349959,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
"I can't afford this order, cancel purchase 732201349959",0,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0]"
what do I need to do to cancel order 370795561790?,0,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]"
"I do not want this item, where to cancel order 370795561790?",0,"[0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0]"
can you help me canceling purchase 00123842 ?,0,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]"
"I can no longer afford purchase 00004587345, cancel it",0,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0]"
i bought something cancel purchase 370795561790,0,"[1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
i want help cancelling purchase 732201349959,0,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
i want help canceling purchase 00004587345,0,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
canceling order 732201349959,0,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
I need help with cancdling purchase 00004587345,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
i want help to cancel purchase  113542617735902,0,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
canceling order 113542617735902,0,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
I need assistance cancelling purchase 370795561790,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
i want assistance canceloing purchase 00123842,0,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
want assistnace to cancel order 370795561790,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
I would like to cancel purchase 113542617735902,0,"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
cancel ordedr 370795561790,0,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1]"
cancel purchase 370795561790,0,"[0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0]"
"I want to cancel purchase 00123842, how could I do it?",0,"[0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0]"
I need assistance canceling purchase 732201349959,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
i need assistance canceling order 00123842,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
cancelo purchase 370795561790,0,"[0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1]"
question about canceling purchase 00004587345,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
where can I cancel purchase 00123842?,0,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
problems with canceling purchase 113542617735902,0,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
I don't want order 113542617735902,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
I can no longer afford order 732201349959,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
where can I cancel purchase 113542617735902?,0,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
help to cancel purchase 732201349959,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
i have problems with cancelling purchase 00123842,0,"[1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
where can I cancel order 732201349959 ?,0,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1]"
I need assistance with cancelling purchase 00123842,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
I have problems with cancelling purchase 00123842,0,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
can uhlep me cancelling purchase 732201349959,0,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]"
where could  i cancel purchase 370795561790,0,"[1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1]"
could you help me cancelling purchase 732201349959?,0,"[0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
I have a problem with cancelling order 00123842,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
question about cancelling purchase 732201349959,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
I do not know what to do to cancel order 113542617735902,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
want assistance cancelling purchase 370795561790,0,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
i need assistance with canceling puchase 00004587345,0,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
i dont want this article cancel order 732201349959,0,"[1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0]"
i dont want order 732201349959 i need help canceling it,0,"[1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
I need help cancelling order 370795561790,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
i ordered some article how do i cancel purchase 00004587345,0,"[1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0]"
help with cancelling purchase 113542617735902,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
i can no longer afford order 732201349959,0,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
I want assistance cfancelling purchase 370795561790,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
where to cancel purchase 00004587345?,0,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
I don't know what to do to cancel purchase 00004587345,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
cancelling purchase 113542617735902,0,"[0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0]"
could you help me cancel purchase 00004587345?,0,"[0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
problems with cancelling order 00004587345,0,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
what do I need to do to cancel purchase 113542617735902?,0,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
what do I have to do to cancel purchase 00004587345?,0,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
I'mtrying to cancel purchase 00004587345,0,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
need assistance cancelling purchase 00123842,0,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
I can no longer afford order 113542617735902,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
assistance to cancel purchase 370795561790,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
have a question about cancelling order 00004587345,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
